station,date,layer,salzone_cedr,salzone_calc,salzone_johnson,salzone_diff,salinity,salinity_johnson,sal_diff
le2.2,1994-08-15,ap,m,m,m,FALSE,11.6127272727273,9.47,2.14272727272727
le2.2,1987-04-21,ap,m,m,m,FALSE,11.4172727272727,9.28,2.13727272727273
cb6.4,1988-09-19,ap,p,p,p,FALSE,21.7666666666667,19.63,2.13666666666667
cb4.3c,1985-03-20,ap,m,m,m,FALSE,16.0026315789474,13.87,2.13263157894737
cb4.3c,1987-08-04,ap,m,m,m,FALSE,16.562,14.43,2.132
cb7.4,1996-08-07,ap,p,p,p,FALSE,29.5583333333333,27.43,2.12833333333333
we4.2,2000-05-26,ap,p,p,p,FALSE,20.7354545454545,18.61,2.12545454545455
cb6.4,2006-07-12,ap,p,p,p,FALSE,23.2344444444444,21.11,2.12444444444445
cb7.3e,2003-08-05,ap,p,p,p,FALSE,24.4066666666667,22.29,2.11666666666667
le1.1,1993-04-19,ap,m,m,m,FALSE,7.776,5.66,2.116
cb6.4,1987-05-06,ap,p,m,m,FALSE,17.9444444444444,15.83,2.11444444444444
cb6.1,2002-07-16,ap,p,p,p,FALSE,20.3741666666667,18.26,2.11416666666667
cb4.3c,1995-04-25,ap,m,m,m,FALSE,15.4805882352941,13.37,2.11058823529412
cb7.3e,2009-04-22,ap,p,p,p,FALSE,25.2470588235294,23.14,2.10705882352941
cb5.2,1988-05-09,ap,m,m,m,FALSE,16.7364705882353,14.63,2.1064705882353
cb6.1,1997-03-04,ap,m,m,m,FALSE,14.3363636363636,12.23,2.10636363636364
cb6.1,2003-04-14,ap,m,m,m,FALSE,15.0825,12.98,2.1025
le1.1,1990-04-23,ap,m,m,m,FALSE,9.97,7.87,2.1
cb7.4,1987-08-17,ap,p,p,p,FALSE,30.3272727272727,28.23,2.09727272727273
cb4.3c,1988-09-21,ap,m,m,m,FALSE,17.6431578947368,15.55,2.09315789473684
cb6.1,1996-04-11,ap,m,m,m,FALSE,14.7909090909091,12.7,2.09090909090909
cb7.4,2008-09-30,ap,p,p,p,FALSE,29.56,27.48,2.08
le2.2,1992-05-26,ap,m,m,m,FALSE,12.359,10.28,2.079
le2.2,1991-03-12,ap,m,m,m,FALSE,8.83727272727273,6.76,2.07727272727273
we4.2,2003-03-13,ap,m,m,m,FALSE,16.8766666666667,14.8,2.07666666666666
cb4.3c,1986-05-13,ap,m,m,m,FALSE,15.4064705882353,13.33,2.07647058823529
cb6.1,2005-09-20,ap,p,p,p,FALSE,20.5663636363636,18.49,2.07636363636364
cb7.3e,2003-03-11,ap,p,p,p,FALSE,21.951052631579,19.88,2.07105263157895
cb7.3e,1993-07-12,ap,p,p,p,FALSE,26.45,24.38,2.07
cb6.1,2004-03-15,ap,m,m,m,FALSE,15.9075,13.84,2.0675
cb7.3e,1987-07-20,ap,p,p,p,FALSE,25.30625,23.24,2.06625
cb6.1,2008-08-11,ap,m,m,m,FALSE,17.8836363636364,15.82,2.06363636363636
cb7.4,2006-09-18,ap,p,p,p,FALSE,29.1446666666667,27.09,2.05466666666667
cb6.1,2007-08-06,ap,p,p,p,FALSE,20.6333333333333,18.58,2.05333333333333
wt5.1,1989-05-02,ap,m,m,m,FALSE,9.3025,7.25,2.0525
cb6.4,1995-08-14,ap,p,p,p,FALSE,23.7222222222222,21.67,2.05222222222222
cb7.3e,1985-09-10,ap,p,p,p,FALSE,25.9144444444445,23.87,2.04444444444444
cb2.2,2005-03-16,wc,o,o,o,FALSE,2.99333333333333,0.95,2.04333333333333
cb3.3c,1990-03-06,ap,m,m,m,FALSE,10.3809523809524,8.34,2.04095238095238
cb6.4,1998-04-06,ap,m,m,m,FALSE,17.468,15.43,2.038
sbe5,2003-05-28,ap,m,m,m,FALSE,13.0177777777778,10.98,2.03777777777778
le2.2,1985-05-27,ap,m,m,m,FALSE,11.9263636363636,9.89,2.03636363636364
